,Time,qo_lc[m3/d],qw_lc[m3/d],qg_lc[m3/d],qo_sc[Sm3/d],qw_sc[Sm3/d],qg_sc[Sm3/d],qo_scnp[Sm3/d],qw_scnp[Sm3/d],qg_scnp[Sm3/d],Fo_lc[%],Fw_lc[%],Fg_lc[%],WLR[%],GVF[%],GLR[m3/m3],BSW[%],GOR[Sm3/Sm3],GOR1[Sm3/Sm3],mo_lc[kg/d],mw_lc[kg/d],mg_lc[kg/d],m_lc[kg/d],mo_sc[kg/d],mw_sc[kg/d],mg_sc[kg/d],Mu_o_lc[cP],Mu_l_lc[cP],Do_lc[g/cm3],Dw_lc[g/cm3],Dg_lc[g/cm3],Dm_lc[g/cm3],Dl_lc[g/cm3],bo[Sm3/m3],bw[Sm3/m3],bg[Sm3/m3],Z,Rst[Sm3/Sm3],Rwst[Sm3/Sm3],rgmp[Sm3/Sm3],N32[cps],N81[cps],N356[cps],NTotal[cps],DeadTime[s],SampleTime[s],DPV[mbar],PL[bara],TL[DegC],TAMB[DegC],Dyn_DP[mbar],OperatingPointLE[1/m],OperatingPointHE[1/m],OilPointLE[1/m],OilPointHE[1/m],WaterPointLE[1/m],WaterPointHE[1/m],GasPointLE[1/m],GasPointHE[1/m]
20,20,109.84,-0.15712,4073.0,108.92,-0.15812,101640.0,108.92,-0.15812,100190.0,3.8426,0.0087993,96.149,-0.054224,97.38,41.748,-0.055074,1047.1,1033.8,97242.0,-204.99,75828,163900.0,95841.0,-205.0,77022,127.3,127.46,0.88413,1.3047,0.018639,0.052009,0.88463,0.9916,1.0064,24.595,0.94199,13.288,0.027283,0.0,44127.0,21868.0,32524.0,114120.0,0.071149,1.0,1687.9,21.996,-2.6262,18.757,1704.9,1.6381,1.0476,23.573,14.784,171.02,25.099,0.49745,0.33071
21,21,69.837,-0.020997,3723.4,69.31,-0.021131,89751.0,69.31,-0.021131,88857.0,3.0079,-0.024311,97.016,0.021314,98.164,57.474,0.021603,1395.0,1382.1,61835.0,-27.395,67289,131110.0,60989.0,-27.396,68015,131.21,131.43,0.88449,1.3047,0.018084,0.043831,0.88518,0.99247,1.0064,23.863,0.94364,12.877,0.026402,0.0,44432.0,21951.0,32633.0,114660.0,0.071555,1.0,1393.4,21.373,-2.7033,18.778,1400.6,1.3177,0.84386,23.568,14.781,171.01,25.098,0.49745,0.33071
22,22,66.027,-0.63003,3509.6,65.559,-0.63406,83609.0,65.559,-0.63406,82775.0,2.854,-0.052589,97.199,-0.97169,98.181,56.195,-0.98492,1333.3,1320.6,58471.0,-822.0,62688,117940.0,57688.0,-822.02,63361,134.46,134.46,0.88476,1.3047,0.017868,0.041932,0.88476,0.99294,1.0064,23.578,0.94421,12.717,0.025799,0.0,44536.0,21968.0,32651.0,114800.0,0.071633,1.0,1223.4,21.115,-2.9069,18.791,1242.8,1.121,0.74675,23.575,14.785,171.01,25.098,0.48831,0.32463
23,23,51.3,-0.96338,3132.4,50.974,-0.96957,72909.0,50.974,-0.96957,72275.0,2.5425,-0.059364,97.517,-1.9075,98.423,63.796,-1.9324,1465.5,1453.1,45442.0,-1257.0,54744,99053.0,44855.0,-1257.0,55252,138.89,138.89,0.88511,1.3047,0.017484,0.038779,0.88511,0.99366,1.0064,23.071,0.9453,12.433,0.024969,0.0,44638.0,22003.0,32636.0,114940.0,0.07173,1.0,1050.5,20.669,-3.1133,18.804,1060.3,1.0315,0.70522,23.584,14.791,171.02,25.099,0.47972,0.31892
24,24,51.16,-0.92941,3008.5,50.848,-0.93541,69755.0,50.848,-0.93541,69125.0,2.5429,0.02779,97.429,-1.9007,98.362,60.994,-1.9251,1394.9,1382.5,45325.0,-1212.7,52359,97886.0,44743.0,-1212.7,52862,141.3,141.3,0.88529,1.3048,0.01741,0.039836,0.8853,0.99392,1.0065,22.974,0.94544,12.379,0.024588,0.0,44474.0,21990.0,32625.0,114750.0,0.071598,1.0,999.33,20.57,-3.3026,18.819,994.23,0.97939,0.66741,23.592,14.796,171.03,25.099,0.47164,0.31355
25,25,87.876,-0.14135,3258.8,87.301,-0.14226,77669.0,87.301,-0.14226,76563.0,4.353,-0.031495,95.678,-0.16085,97.379,37.318,-0.16296,893.48,880.82,77853.0,-184.43,57971,136720.0,76821.0,-184.44,58860,140.14,140.21,0.88517,1.3048,0.017804,0.055155,0.88536,0.99347,1.0065,23.493,0.94416,12.669,0.024908,0.0,44089.0,21840.0,32471.0,113960.0,0.07106,1.0,1137.5,20.996,-3.4368,18.819,1124.3,1.2029,0.77467,23.594,14.797,171.03,25.1,0.4736,0.31486
26,26,111.65,-0.1801,3519.9,110.84,-0.18126,85977.0,110.84,-0.18126,84539.0,5.1078,0.0015621,94.891,-0.14463,96.932,31.799,-0.14671,780.99,768.03,98892.0,-234.99,63992,163220.0,97535.0,-234.99,65155,135.99,136.14,0.88484,1.3048,0.018199,0.062486,0.88531,0.99276,1.0065,24.015,0.94302,12.962,0.025691,0.0,43814.0,21759.0,32408.0,113500.0,0.070827,1.0,1319.3,21.45,-3.2685,18.823,1304.8,1.5134,0.97513,23.59,14.795,171.04,25.101,0.4836,0.3215
27,27,121.07,-0.37148,3721.9,120.11,-0.37386,91941.0,120.11,-0.37386,90366.0,5.2646,-0.016187,94.752,-0.30511,96.861,30.907,-0.30952,766.92,753.81,107190.0,-484.67,68392,175920.0,105690.0,-484.68,69675,130.63,130.63,0.88442,1.3047,0.018397,0.063782,0.88442,0.99212,1.0064,24.276,0.94262,13.109,0.026627,0.0,43803.0,21745.0,32442.0,113500.0,0.070828,1.0,1460.8,21.709,-2.8358,18.826,1441.2,1.6551,1.0667,23.58,14.789,171.03,25.1,0.49227,0.32727
28,28,98.412,-0.20619,3883.6,97.545,-0.20749,97181.0,97.545,-0.20749,95872.0,3.6341,-0.0063339,96.372,-0.2239,97.558,46.973,-0.22728,1172.5,1159.2,87092.0,-269.0,72574,153310.0,85834.0,-269.01,73646,124.97,124.97,0.88394,1.3046,0.018698,0.050059,0.88394,0.99133,1.0063,24.674,0.94192,13.333,0.027713,0.0,44216.0,21890.0,32557.0,114230.0,0.07126,1.0,1532.7,22.083,-2.4029,18.823,1560.4,1.6166,1.0416,23.568,14.781,171.02,25.098,0.50069,0.33286
29,29,47.474,-0.05328,3313.6,47.115,-0.053615,79097.0,47.115,-0.053615,78494.0,2.13,0.025293,97.845,-0.097393,98.586,72.593,-0.098764,1743.0,1730.2,42021.0,-69.508,59458,101550.0,41459.0,-69.51,59941,129.58,129.7,0.88438,1.3046,0.01795,0.03673,0.88477,0.99245,1.0063,23.686,0.94418,12.779,0.026607,0.0,44578.0,22021.0,32664.0,114930.0,0.071646,1.0,1149.1,21.247,-2.445,18.828,1160.6,1.2186,0.78341,23.564,14.778,171.0,25.096,0.49746,0.33071
30,30,40.205,0.33912,3061.9,39.923,0.34126,71924.0,39.923,0.34126,71422.0,2.0275,-0.0048827,97.977,0.8785,98.699,77.392,0.89013,1845.9,1833.3,35595.0,442.42,54105,89824.0,35130.0,442.43,54506,132.88,134.12,0.88466,1.3046,0.017674,0.035189,0.88848,0.99299,1.0063,23.322,0.94494,12.574,0.02596,0.0,44670.0,22038.0,32663.0,115030.0,0.071713,1.0,1015.9,20.924,-2.6217,18.816,1030.2,1.0061,0.63106,23.572,14.784,171.0,25.096,0.48371,0.32157
31,31,89.262,-0.66045,3201.0,88.619,-0.66466,76667.0,88.619,-0.66466,75537.0,4.8075,-0.11278,95.305,-0.58238,97.325,37.845,-0.59066,906.42,893.69,79035.0,-861.68,57193,142460.0,77980.0,-861.71,58101,133.33,133.61,0.88467,1.3047,0.017876,0.058095,0.88551,0.99284,1.0064,23.589,0.94424,12.724,0.025976,0.0,44134.0,21810.0,32527.0,114060.0,0.071124,1.0,1132.3,21.134,-2.7963,18.812,1105.1,1.0971,0.72589,23.578,14.787,171.01,25.097,0.47914,0.31854
32,32,114.84,-2.5529,3502.6,113.94,-2.5692,86164.0,113.94,-2.5692,84677.0,5.075,-0.081109,95.006,-2.2646,96.887,31.554,-2.2977,765.25,752.2,101670.0,-3330.8,64095,161950.0,100260.0,-3330.8,65297,130.36,130.36,0.8844,1.3047,0.018318,0.06123,0.8844,0.99217,1.0064,24.172,0.9429,13.051,0.026638,0.0,43986.0,21778.0,32438.0,113720.0,0.07086,1.0,1319.9,21.628,-2.7591,18.8,1313.9,1.4017,0.98236,23.577,14.786,171.01,25.098,0.48615,0.32319
33,33,79.116,-1.3306,3440.2,78.508,-1.339,83267.0,78.508,-1.339,82253.0,3.3427,-0.054881,96.712,-1.6588,97.799,45.961,-1.6826,1101.0,1088.1,70033.0,-1735.9,62286,125670.0,69083.0,-1736.0,63102,130.22,130.22,0.88441,1.3046,0.018115,0.046365,0.88441,0.99235,1.0063,23.903,0.94359,12.9,0.026575,0.0,44407.0,21926.0,32601.0,114540.0,0.07141,1.0,1169.4,21.415,-2.6174,18.794,1189.4,1.4144,0.96662,23.572,14.783,171.01,25.098,0.49299,0.32774
34,34,49.098,-0.47928,3085.8,48.76,-0.48232,72591.0,48.76,-0.48232,71978.0,2.4085,-0.0043095,97.596,-0.96323,98.452,65.343,-0.97623,1532.9,1520.3,43473.0,-625.29,54522,96514.0,42906.0,-625.31,55011,134.26,134.26,0.88476,1.3047,0.017674,0.038503,0.88476,0.99311,1.0064,23.323,0.94487,12.575,0.025747,0.0,44570.0,22005.0,32680.0,114910.0,0.071636,1.0,1000.0,20.912,-2.7652,18.783,1010.2,1.1534,0.76496,23.575,14.785,171.01,25.097,0.48606,0.32314
35,35,31.534,-0.0012079,2703.6,31.328,-0.0012134,62962.0,31.328,-0.0012134,62571.0,1.7149,0.010698,98.274,0.21412,98.867,96.858,0.21681,2276.9,2264.4,27925.0,-1.5731,47404,74445.0,27567.0,-1.5732,47714,137.02,137.7,0.88498,1.3047,0.017538,0.032552,0.88702,0.99346,1.0064,23.143,0.9452,12.474,0.025269,0.0,44729.0,22062.0,32691.0,115130.0,0.071736,1.0,890.4,20.742,-2.9609,18.772,897.78,0.98229,0.62934,23.582,14.79,171.01,25.098,0.47668,0.3169
36,36,62.165,-0.13071,2894.0,61.743,-0.13155,68599.0,61.743,-0.13155,67817.0,3.4122,-0.0037398,96.592,-0.3742,97.927,50.51,-0.37908,1194.6,1182.0,55053.0,-170.55,51364,108360.0,54331.0,-170.55,51986,137.29,137.48,0.88498,1.3048,0.017751,0.047292,0.88555,0.99329,1.0064,23.423,0.94447,12.63,0.025315,0.0,44297.0,21915.0,32579.0,114410.0,0.071281,1.0,939.22,20.965,-3.1215,18.756,925.4,0.99396,0.64426,23.587,14.793,171.02,25.099,0.47501,0.31579
37,37,94.062,-1.0272,3164.4,93.391,-1.0338,76722.0,93.391,-1.0338,75518.0,4.9313,-0.09211,95.161,-1.0662,97.151,34.718,-1.081,838.33,825.46,83300.0,-1340.3,57178,141890.0,82179.0,-1340.3,58142,136.14,136.14,0.88486,1.3048,0.018084,0.059641,0.88486,0.99288,1.0065,23.863,0.9434,12.877,0.02562,0.0,44055.0,21794.0,32493.0,113890.0,0.071014,1.0,1085.1,21.327,-3.2141,18.741,1069.3,1.2877,0.8605,23.586,14.792,171.03,25.1,0.48197,0.32042
38,38,143.41,-1.8036,3546.4,142.24,-1.8152,89157.0,142.24,-1.8152,87263.0,6.8133,-0.046009,93.233,-1.2955,96.176,25.519,-1.3147,637.17,623.88,126970.0,-2353.3,66025,197680.0,125160.0,-2353.3,67565,130.68,130.68,0.88439,1.3048,0.01864,0.077032,0.88439,0.9919,1.0064,24.597,0.9418,13.288,0.026717,0.0,43454.0,21614.0,32366.0,112910.0,0.070431,1.0,1431.2,21.964,-2.9897,18.733,1393.4,1.6316,1.0986,23.581,14.789,171.03,25.1,0.49246,0.32739
39,39,168.54,-1.3844,3852.6,166.92,-1.3931,100330.0,166.92,-1.3931,98032.0,6.7172,-0.057334,93.34,-0.80908,95.836,23.723,-0.8222,618.78,605.01,149100.0,-1806.1,74144,218710.0,146880.0,-1806.1,76034,120.56,120.56,0.8835,1.3046,0.01928,0.076608,0.8835,0.99036,1.0063,25.442,0.94023,13.765,0.02877,0.0,43474.0,21623.0,32264.0,112840.0,0.070395,1.0,1717.7,22.742,-2.2487,18.729,1716.5,2.0005,1.318,23.565,14.779,171.02,25.099,0.50839,0.33798
40,40,76.706,-0.67111,3717.3,75.984,-0.67528,93490.0,75.984,-0.67528,92463.0,2.6937,-0.014278,97.321,-0.89172,98.047,57.451,-0.90575,1433.4,1419.9,67840.0,-875.44,70016,126900.0,66862.0,-875.47,70849,120.42,120.42,0.88354,1.3045,0.018829,0.041933,0.88354,0.99078,1.0062,24.846,0.94174,13.431,0.028589,0.0,44480.0,21971.0,32647.0,114720.0,0.071529,1.0,1352.1,22.269,-1.9605,18.719,1394.5,1.7064,1.1255,23.548,14.769,171.0,25.096,0.5169,0.34364
