Глубина манометра,Dшт,Руст,Рзаб,Рлин,Руст_1,Рзаб_1,Рлин_1,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит газа_1,Дебит кон нестабильный,Дебит воды_1,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Pсб_1,Ro_c,Удельная плотность газа ,КГФ
3532.9955555555557,14.29,221.8,342.5786542222222,107.55553088133304,222.0,338.5311111111111,106.77,69.0,45.32682926829268,104.82777777777778,52.22178972935467,601.5,167.1,1.0,629.44012,5020.0,254.0,1.0,63.6,42.51254022222222,50.99777777777778,50.45641025641024,90.8,89.61263261781396,788.4,0.684659745226576,219.042278656448
3667.0,7.94,264.0,362.8,95.60121658986225,263.0,362.9,95.33503225806452,49.0,26.1,105.54,26.43987327188939,243.22290322580645,61.33461059907835,1.371589170506912,255.2458584923963,1924.9,101.5,1.3,63.3,39.02,48.3,50.9,93.1,91.88255613126078,787.0,0.665,198.0
3667.0,9.53,256.0,359.3,96.59738321167896,256.0,359.3,97.32183870967738,55.0,33.4,105.57,33.68865328467154,353.2155839416058,77.98768613138682,3.496397080291972,366.8591266430657,2856.2,123.1,3.5,63.3,39.02,48.3,50.9,92.8,91.586479151246,787.0,0.665,174.0
3670.0,12.7,229.8947368421053,336.3,102.40378048912564,228.0,333.1,102.293098,65.1,44.8,105.04,44.739639307486506,503.7549776125223,134.48172574777206,6.656155877896616,528.6676493768875,4152.0,195.9,6.7,63.3,37.19,48.0,50.2,95.8,94.54724895139402,778.8,0.674,140.0
3668.5,9.53,248.0,340.0,94.020527147087,248.0,339.8,94.19509677419347,59.0,32.4,104.853,33.5142857847976,338.63326752221127,66.58909279368211,1.391210256663376,350.5474474332577,2868.6,105.2,1.4,72.5398,36.75,48.4,49.7,88.8,87.63878608438193,782.53,0.66,154.0
3668.5,11.11,239.0,334.0,95.50515307582188,239.0,331.7,95.88422580645144,61.0,38.6,104.834,39.28579113018597,432.7420123986648,77.90659656652359,2.0189837386742946,445.71547971072965,3773.0,122.8,2.0,72.5398,36.75,48.4,49.7,88.1,86.94793979768073,782.53,0.66,141.0
3668.5,12.7,223.88888888888889,326.0,94.89208995037264,223.0,324.0,95.52348387096757,64.0,42.7,104.74,42.91378970223328,514.1017369727047,91.24142059553358,2.7990755583126563,528.9312668950372,4590.3,142.1,2.7,72.5398,36.75,48.4,49.7,88.8,87.63878608438193,782.53,0.66,139.0
3668.5,14.29,206.0,318.0,97.27056371490129,205.0,312.5,95.52348387096757,66.0,46.9,104.643,46.71543250539952,608.7759179265659,102.94293682505406,3.226367926565875,625.4867829411988,5452.4,161.1,3.3,72.5398,36.75,48.4,49.7,88.9,87.73747841105354,782.53,0.66,132.0
3437.0,7.5,212.0,305.56,100.8,215.0,305.6,99.7,40.0,26.0,106.5,25.9,162.152,45.4,0.6,172.04072,1168.0,79.0,0.5,44.2,36.46,47.9,48.6,99.8,98.49494201825809,782.0,0.684,219.0
3437.0,7.94,210.625,298.69,100.6,209.0,298.7,100.6,48.0,27.8,106.6,28.5,189.82,52.8,1.0,201.32084,1401.0,93.1,1.0,44.2,36.46,47.9,48.6,99.8,98.49494201825809,782.0,0.684,218.0
